configuration,model_family,lambda_precipitation,lambda_pet,seed,test_fold,validation_fold,train_region_count,validation_region_count,test_region_count,test_sample_count,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_r_squared,test_precipitation_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
Mean,Mean,0.0,0.0,-1,1,2,20,6,7,84,,0,0,0.0,,105.2979645860678,88.21183086576916,-2.249530330900029e-06,-0.15793028331938244,101.07218881730883,-0.021520467687517586,,,,
Ridge,Ridge,0.0,0.0,-1,1,2,20,6,7,84,100.0,0,0,0.0,54.52879247930942,49.970262443496615,35.41620999290829,0.7747917556376257,23.29898470924014,39.788348006511605,0.8416946666241495,0.0,0.0,,
MLP,MLP,0.0,0.0,20260806,1,2,20,6,7,84,,18,218,0.4252748489379883,55.34683747537231,68.13914549491022,52.664671761649,0.581250414461292,31.69143277122861,56.23777715666465,0.6837430894612985,0.13541666666666666,0.0,0.00502104964107275,0.0
MLP,MLP,0.0,0.0,20260807,1,2,20,6,7,84,,1204,1404,3.1142706871032715,35.441924200049726,37.38634911993361,27.324883960542223,0.8739371449794281,-21.0189452398391,36.95380760085401,0.8634467258510904,0.11383928571428571,0.08333333333333333,0.008666221983730793,0.002736581489443779
MLP,MLP,0.0,0.0,20260808,1,2,20,6,7,84,,841,1041,2.247889995574951,36.75477426506866,35.23428726349764,28.79923611595517,0.8880324936954616,-16.891329447428387,33.61273176572652,0.8870226586092422,0.140625,0.2261904761904762,0.008443494327366352,0.006303854752331972
MLP,MLP,0.0,0.0,20260809,1,2,20,6,7,84,,793,993,2.2125191688537598,36.186656157063325,49.42627865629571,39.8430666242327,0.7796683681898424,-34.7885498773484,45.83613979944601,0.7899126989843049,0.10119047619047619,0.11904761904761904,0.005410646554082632,0.005479645915329456
MLP,MLP,0.0,0.0,20260810,1,2,20,6,7,84,,13,213,0.3694124221801758,65.35866592796457,84.6934125322813,67.53853752499535,0.3530655348890166,57.333274841308594,71.24327444911516,0.4924585977673275,0.2105654761904762,0.0,0.0028130642604082823,0.0
PINN_P_lambda10,PINN_P,10.0,0.0,20260806,1,2,20,6,7,84,,18,218,0.8419227600097656,55.0486479849859,67.87915336858823,52.13958485921224,0.5844398847371645,32.81566256568546,55.7503705214294,0.6892012616153543,0.13020833333333334,0.0,0.004265533294528723,0.0
PINN_P_lambda10,PINN_P,10.0,0.0,20260807,1,2,20,6,7,84,,894,1094,4.601877450942993,38.48376138421252,34.299998015320114,26.141598292759486,0.8938917348131,-20.368194943382626,34.00564594513111,0.8843659361945805,0.05952380952380952,0.15476190476190477,0.0016809285152703524,0.011183885857462883
PINN_P_lambda10,PINN_P,10.0,0.0,20260808,1,2,20,6,7,84,,1107,1307,5.39458441734314,30.738783670963358,26.376488595665794,21.230826604933966,0.9372527087570576,-2.5681381225585938,23.948752431010778,0.9426478741883726,0.06845238095238096,0.23809523809523808,0.001947209588252008,0.009610927663743496
