target,depth_label,maximum_lag_months,configuration,feature_count,test_fold,validation_fold,selected_alpha,test_region_count,test_sample_count,test_rmse_mm,test_mae_mm,test_r_squared
SM_100_200cm_mm,100–200 cm,1,ONLY_C2,5,2,3,300.0,6,72,45.64775715515347,35.75530255638627,0.20857055200135433
SM_100_200cm_mm,100–200 cm,1,ONLY_C2,5,3,4,100.0,6,72,53.59184994373236,43.970113649643615,0.22939857374468298
SM_100_200cm_mm,100–200 cm,1,ONLY_C2,5,4,0,10.0,8,96,64.06212075921958,52.00751398827864,0.10420783062847938
SM_100_200cm_mm,100–200 cm,1,ONLY_C3,5,0,1,300.0,6,72,59.401810840465316,53.137450214243884,-1.8627096703680999
SM_100_200cm_mm,100–200 cm,1,ONLY_C3,5,1,2,0.0,7,84,56.376301854603305,36.86496064993036,-0.10932673373630264
SM_100_200cm_mm,100–200 cm,1,ONLY_C3,5,2,3,300.0,6,72,43.757729065667036,35.391359804975636,0.27275144360266634
SM_100_200cm_mm,100–200 cm,1,ONLY_C3,5,3,4,100.0,6,72,53.242485560413584,43.109766163054104,0.23941290128630732
SM_100_200cm_mm,100–200 cm,1,ONLY_C3,5,4,0,0.0,8,96,63.75706276070228,51.92601623708473,0.11271887968533334
SM_100_200cm_mm,100–200 cm,1,ONLY_C4,5,0,1,300.0,6,72,60.01502211657186,53.3902667317644,-1.9221188585120634
SM_100_200cm_mm,100–200 cm,1,ONLY_C4,5,1,2,100.0,7,84,51.80614517366309,33.86299913557424,0.06323885669800433
SM_100_200cm_mm,100–200 cm,1,ONLY_C4,5,2,3,300.0,6,72,42.79037767194257,33.771445470911544,0.3045505672691433
SM_100_200cm_mm,100–200 cm,1,ONLY_C4,5,3,4,100.0,6,72,50.81483994848132,40.501697270799845,0.3071911368736333
SM_100_200cm_mm,100–200 cm,1,ONLY_C4,5,4,0,10.0,8,96,58.97612252095309,47.09423721386829,0.24079847860540715
SM_100_200cm_mm,100–200 cm,1,DROP_C1,9,0,1,0.0,6,72,46.6540579719308,40.34576510529549,-0.7658620996382839
SM_100_200cm_mm,100–200 cm,1,DROP_C1,9,1,2,300.0,7,84,49.826962348311994,35.42496982652242,0.1334469906095047
SM_100_200cm_mm,100–200 cm,1,DROP_C1,9,2,3,100.0,6,72,43.8084967914569,35.823705452846085,0.27106295684547854
SM_100_200cm_mm,100–200 cm,1,DROP_C1,9,3,4,100.0,6,72,50.137516701104744,40.75221692133688,0.32553727903636454
SM_100_200cm_mm,100–200 cm,1,DROP_C1,9,4,0,30.0,8,96,60.2075396102685,47.223814278495645,0.20876334494970783
SM_100_200cm_mm,100–200 cm,1,DROP_C2,9,0,1,300.0,6,72,64.85844843711423,58.20565918840711,-2.4128016368748924
SM_100_200cm_mm,100–200 cm,1,DROP_C2,9,1,2,300.0,7,84,49.222140292077334,32.37431114742692,0.1543565305384853
SM_100_200cm_mm,100–200 cm,1,DROP_C2,9,2,3,300.0,6,72,41.97693043712457,33.89193144318268,0.3307403018413131
SM_100_200cm_mm,100–200 cm,1,DROP_C2,9,3,4,100.0,6,72,46.54249006206752,35.37523846700006,0.4187920577559259
SM_100_200cm_mm,100–200 cm,1,DROP_C2,9,4,0,1.0,8,96,59.31239955080395,46.775531541755804,0.23211598550855428
SM_100_200cm_mm,100–200 cm,1,DROP_C3,9,0,1,0.0,6,72,34.01134282285998,28.861471903239348,0.06151897964702746
SM_100_200cm_mm,100–200 cm,1,DROP_C3,9,1,2,100.0,7,84,43.34583655920797,29.00049893668306,0.34421558729635926
SM_100_200cm_mm,100–200 cm,1,DROP_C3,9,2,3,100.0,6,72,43.062715102014515,34.52398507221164,0.29567008405564066
SM_100_200cm_mm,100–200 cm,1,DROP_C3,9,3,4,100.0,6,72,44.46949420287316,34.8454433303731,0.4694128955481194
SM_100_200cm_mm,100–200 cm,1,DROP_C3,9,4,0,0.0,8,96,61.56373708379138,47.328840857065565,0.17271607087965335
SM_100_200cm_mm,100–200 cm,1,DROP_C4,9,0,1,1.0,6,72,42.526955940393414,36.67821609658873,-0.4672581502366253
SM_100_200cm_mm,100–200 cm,1,DROP_C4,9,1,2,300.0,7,84,46.147885843636224,30.441986905595936,0.25669007654574605
SM_100_200cm_mm,100–200 cm,1,DROP_C4,9,2,3,100.0,6,72,45.67063072494618,37.66965149766012,0.20777720076569073
